time,weight
0,7.2
0,13.8
0,4.6
0,3.9
0,3.8
0,5.6
0,3.8
0,3.9
0,6.3
0,7.6
0,4.6
0,3
0,5.8
0,4.5
0,9.4
0,1.9
0,6.7
0,2.4
0,3.4
0,2.4
0,4.6
0,1.2
0,6.6
0,8.7
0,4.5
0,3.7
0,5.4
0,10.6
0,2.7
0,3.3
0,4.5
0,6.3
0,4
0,4.3
0,4.9
0,3.9
0,3.5
0,3.9
0,1.8
0,1.7
0,6.4
0,6.1
0,3.8
0,4.2
0,7.1
0,3.7
0,6.4
0,5.6
0,3.2
0,3.4
0,3.1
0,5.5
0,3
0,0.3
0,5.7
0,3
0,0.9
10,13.029
10,15.123
10,7.945
10,4.167
10,11.403
10,14.147
10,11.358
10,12.71
10,17.661
10,7.844
10,14.617
10,20.005
10,1.673
10,0.431
10,8.387
10,11.702
10,3.126
10,8.364
10,7.724
10,9.232
10,8.722
10,11.15
10,12.461
10,11.492
10,9.494
10,14.682
10,15.137
10,13.911
10,12.997
10,5.326
10,7.371
10,9.293
10,14.576
10,16.142
10,16.524
10,12.784
10,15.8
10,11.6
10,7.287
10,5.045
10,5.253
10,17.539
10,29.905
10,14.371
10,17.789
10,7.241
10,15.689
10,18.258
10,11.017
10,7.447
10,7.389
10,1.81
10,16.463
20,36.367
20,25.692
20,36.88
20,28.935
20,43.967
20,35.661
20,33.15
20,42.404
20,30.088
20,42.169
20,51.412
20,48.829
20,44.267
20,37.973
20,31.508
20,38.034
20,15.564
20,19.823
20,19.977
20,52.597
20,34.343
20,51.166
20,41.648
20,32.228
20,30.884
20,43.193
20,53.468
20,38.988
20,36.478
20,55.708
20,45.318
20,40.151
20,22.986
20,48.812
20,24.02
20,32.913
20,31.801
20,29.596
20,34.019
20,38.582
20,31.484
20,25.879
20,35.041
20,53.27
20,46.685
20,81.109
20,23.972
20,37.855
20,40.537
20,45.256
20,47.264
20,41.75
20,32.512
20,37.778
20,42.083
28,81.944
28,74.588
28,46.519
28,62.728
28,48.889
28,62.798
28,26.877
28,98.341
28,71.634
28,36.95
28,98.505
28,37.684
28,48.665
28,61.117
28,89.372
28,77.875
28,153.988
28,136.339
28,40.187
28,58.97
28,55.279
28,48.857
28,11.941
28,62.733
28,77.344
28,57.937
28,69.504
28,96.898
28,39.32
28,48.94
28,53.84
28,9.574
28,38.924
28,111.901
28,48.619
28,58.991
28,47.716
28,48.364
28,50.9
28,64.859
28,28.23
28,38.229
28,62.283
28,62.352
28,82.928
28,67.756
28,57.541
28,44.312
28,64.436
28,23.257
28,56.554
28,7.879
28,70.864
28,58.52
28,45.702
28,62.781
28,50.426
28,36.634
36,74.3
36,82.2
36,64.8
36,145.7
36,62.3
36,56.9
36,51.4
36,56.1
36,35.5
36,67.6
36,64.2
36,125.2
36,141
36,70.6
36,57.8
36,84.7
36,92
36,21
36,120.3
36,43.2
36,73.2
36,85.9
36,94.7
36,72.4
36,90.5
36,45.2
36,100.4
36,52.1
36,43.1
36,71.4
36,45.5
36,47
36,57.6
36,46.5
36,74.8
36,53.4
36,63.3
36,63.2
36,74.4
36,61.9
36,41.1
36,86.9
36,52.7
36,81.3
36,80.1
36,46.5
36,130.5
36,131.3
36,53.4
36,77.5
36,94.6
36,10.8
36,86.2
36,78.6
44,56.814
44,59.316
44,117.618
44,108.152
44,71.624
44,55.251
44,117.719
44,75.24
44,64.825
44,42.06
44,57.24
44,100.007
44,123.17
44,64.873
44,56.999
44,57.24
44,11.902
44,92.216
44,64.248
44,108.792
44,74.015
44,77.316
44,67.774
44,64.332
44,53.428
44,38.441
44,63.209
44,31.299
44,97.582
44,89.725
44,60.954
44,55.337
44,48.302
44,79.243
44,67.083
44,74.752
44,90.312
44,83.192
44,110.889
44,66.752
44,77.852
44,66.3
44,25.556
44,32.415
44,65.361
44,100.303
44,62.61
44,93.82
44,64.234
44,48.955
44,105.041
44,71.302
44,72.78
44,92.17
44,65.627
44,105.753
44,109.101
44,68.724
48,61.013
48,52.857
48,57.096
48,84.007
48,67.553
48,64.339
48,62.529
48,58
48,64.175
48,76.774
48,37.401
48,58.214
48,52.854
48,56.722
48,56.929
48,167.565
48,173.612
48,89.801
48,77.047
48,57.623
48,65.886
48,91.132
48,132.216
48,59.161
48,22.043
48,61.059
48,64.2
48,85.726
48,94.448
48,74.232
48,70.84
48,105.911
48,59.982
48,51.996
48,77.831
48,87.113
48,73.05
48,68.531
48,103.461
48,49.621
48,69.078
48,54.386
48,102.106
48,44.044
48,63.228
48,68.012
48,62.996
48,100.059
48,72.389
48,113.467
48,63.234
48,37.152
48,58.875
57,93.108
57,86.183
57,72.448
57,67.354
57,56.96
57,75.456
57,77.017
57,68.695
57,77.871
57,56.22
57,112.829
57,112.026
57,77.436
57,101.925
57,88.549
57,110.684
57,120.85
57,86.197
57,56.557
57,127.731
57,158.739
57,126.283
57,29.246
57,141.036
57,157.218
57,150.125
57,82.861
57,83.617
57,51.456
57,103.123
57,109.856
57,83.202
57,97.667
57,48.936
57,33.996
57,106.347
57,20.317
57,89.776
57,109.829
57,103.961
57,91.54
57,122.678
57,94.867
57,91.283
57,48.865
57,37.421
57,128.283
57,118.164
57,101.608
57,83.821
57,74.046
57,96.351
57,50.89
57,59.253
57,96.819
57,79.375
64,123.9
64,102.7
64,119.7
64,125
64,122.5
64,72.4
64,62.4
64,65.7
64,125.1
64,121.9
64,103.3
64,102.6
64,127
64,75.9
64,60.3
64,162.9
